trim_0based,anio,trim_libro,fcf_sombra,necesidad_de_aportes,excedente
0,2026,1,-13005.0358,13005.0358,0.0000
1,2027,2,-4331.6314,4331.6314,0.0000
2,2027,3,-4379.6290,4379.6290,0.0000
3,2027,4,-4136.3674,4136.3674,0.0000
4,2027,5,90.5721,0.0000,90.5721
5,2028,6,-142.7442,142.7442,0.0000
6,2028,7,-25.0000,25.0000,0.0000
7,2028,8,-16835.0609,16835.0609,0.0000
8,2028,9,-4187.2619,4187.2619,0.0000
9,2029,10,-11542.2571,11542.2571,0.0000
10,2029,11,-9631.1126,9631.1126,0.0000
11,2029,12,-7784.4816,7784.4816,0.0000
12,2029,13,-8943.0847,8943.0847,0.0000
13,2030,14,1046.4417,0.0000,1046.4417
14,2030,15,-168.7638,168.7638,0.0000
15,2030,16,-139.4943,139.4943,0.0000
16,2030,17,2575.0268,0.0000,2575.0268
17,2031,18,9920.2399,0.0000,9920.2399
18,2031,19,5493.5052,0.0000,5493.5052
19,2031,20,-1174.2327,1174.2327,0.0000
20,2031,21,-1290.1492,1290.1492,0.0000
21,2032,22,3434.4894,0.0000,3434.4894
22,2032,23,5397.1970,0.0000,5397.1970
23,2032,24,5361.9664,0.0000,5361.9664
24,2032,25,-536.4674,536.4674,0.0000
25,2033,26,3469.9056,0.0000,3469.9056
26,2033,27,5427.6287,0.0000,5427.6287
27,2033,28,5667.9194,0.0000,5667.9194
28,2033,29,-3008.6514,3008.6514,0.0000
29,2034,30,3635.1518,0.0000,3635.1518
30,2034,31,5588.8206,0.0000,5588.8206
31,2034,32,5551.8487,0.0000,5551.8487
32,2034,33,-3034.5031,3034.5031,0.0000
33,2035,34,3527.7377,0.0000,3527.7377
34,2035,35,5467.4149,0.0000,5467.4149
35,2035,36,5429.5307,0.0000,5429.5307
36,2035,37,-3024.3390,3024.3390,0.0000
37,2036,38,3615.3189,0.0000,3615.3189
38,2036,39,5630.1118,0.0000,5630.1118
39,2036,40,5591.2943,0.0000,5591.2943
40,2036,41,-2967.9478,2967.9478,0.0000
41,2037,42,3436.4457,0.0000,3436.4457
42,2037,43,5655.2130,0.0000,5655.2130
43,2037,44,5614.6011,0.0000,5614.6011
44,2037,45,-2921.1979,2921.1979,0.0000
45,2038,46,3656.3008,0.0000,3656.3008
46,2038,47,5520.2855,0.0000,5520.2855
47,2038,48,5583.4159,0.0000,5583.4159
48,2038,49,-2735.3993,2735.3993,0.0000
49,2039,50,3878.1479,0.0000,3878.1479
50,2039,51,5694.6454,0.0000,5694.6454
51,2039,52,5651.9315,0.0000,5651.9315
52,2039,53,-2775.8854,2775.8854,0.0000
53,2040,54,3782.8830,0.0000,3782.8830
54,2040,55,5554.3357,0.0000,5554.3357
55,2040,56,5510.5042,0.0000,5510.5042
56,2040,57,-2625.7882,2625.7882,0.0000
57,2041,58,3719.7749,0.0000,3719.7749
58,2041,59,5729.2069,0.0000,5729.2069
59,2041,60,5684.2566,0.0000,5684.2566
60,2041,61,-2556.6302,2556.6302,0.0000
61,2042,62,3965.8702,0.0000,3965.8702
62,2042,63,5574.0040,0.0000,5574.0040
63,2042,64,5527.8637,0.0000,5527.8637
64,2042,65,5743.3846,0.0000,5743.3846
65,2043,66,11961.8282,0.0000,11961.8282
66,2043,67,13488.1359,0.0000,13488.1359
67,2043,68,13440.8443,0.0000,13440.8443
68,2043,69,6707.1843,0.0000,6707.1843
69,2044,70,12109.9302,0.0000,12109.9302
70,2044,71,13707.6503,0.0000,13707.6503
71,2044,72,13659.1063,0.0000,13659.1063
72,2044,73,7926.2979,0.0000,7926.2979
73,2045,74,11934.3801,0.0000,11934.3801
74,2045,75,13569.2821,0.0000,13569.2821
75,2045,76,13519.4644,0.0000,13519.4644
76,2045,77,-2101.2614,2101.2614,0.0000
77,2046,78,263.6428,0.0000,263.6428
78,2046,79,2041.2047,0.0000,2041.2047
79,2046,80,2236.0133,0.0000,2236.0133
80,2046,81,-195.8315,195.8315,0.0000
81,2047,82,453.7197,0.0000,453.7197
82,2047,83,2136.0473,0.0000,2136.0473
83,2047,84,2083.5784,0.0000,2083.5784
84,2047,85,-220.6183,220.6183,0.0000
85,2048,86,272.6204,0.0000,272.6204
86,2048,87,1977.9329,0.0000,1977.9329
87,2048,88,1924.0964,0.0000,1924.0964
88,2048,89,-292.7877,292.7877,0.0000
89,2049,90,472.5394,0.0000,472.5394
90,2049,91,2203.2731,0.0000,2203.2731
91,2049,92,2148.0377,0.0000,2148.0377
92,2049,93,-230.1675,230.1675,0.0000
93,2050,94,269.3521,0.0000,269.3521
94,2050,95,2042.9834,0.0000,2042.9834
95,2050,96,1986.2377,0.0000,1986.2377
96,2050,97,-172.4920,172.4920,0.0000
97,2051,98,79.6406,0.0000,79.6406
98,2051,99,1874.4728,0.0000,1874.4728
99,2051,100,2090.0108,0.0000,2090.0108
100,2051,101,-65.3068,65.3068,0.0000
101,2052,102,373.4193,0.0000,373.4193
102,2052,103,2056.4019,0.0000,2056.4019
103,2052,104,1996.9713,0.0000,1996.9713
104,2052,105,12407.6254,0.0000,12407.6254
105,2053,106,0.0000,0.0000,0.0000
106,0,0,0.0000,0.0000,0.0000
