mes,fecha,capex_constante,indice_capex,costo_obra_corriente,flag_obra,inversion_base_deuda
1,2026-10-31,1410.4816,1.01663910,1433.9508,0,0.0000
2,2026-11-30,1410.4816,1.01831816,1436.3191,0,0.0000
3,2026-12-31,1410.4816,1.02000000,1438.6913,0,0.0000
4,2027-01-31,1410.4816,1.02168461,1441.0674,0,0.0000
5,2027-02-28,1410.4816,1.02337201,1443.4474,0,0.0000
6,2027-03-31,1410.4816,1.02506219,1445.8314,0,0.0000
7,2027-04-30,1410.4816,1.02675516,1448.2193,0,0.0000
8,2027-05-31,1410.4816,1.02845093,1450.6112,0,0.0000
9,2027-06-30,1410.4816,1.03014950,1453.0070,0,0.0000
10,2027-07-31,1330.3585,1.03185088,1372.7316,0,0.0000
11,2027-08-31,1330.3585,1.03355506,1374.9988,0,0.0000
12,2027-09-30,1330.3585,1.03526207,1377.2697,0,0.0000
13,2027-10-31,40.0616,1.03697188,41.5427,0,0.0000
14,2027-11-30,40.0616,1.03868453,41.6113,0,0.0000
15,2027-12-31,40.0616,1.04040000,41.6800,0,0.0000
16,2028-01-31,120.1847,1.04211831,125.2466,0,0.0000
17,2028-02-29,0.0000,1.04383945,0.0000,0,0.0000
18,2028-03-31,0.0000,1.04556343,0.0000,0,0.0000
19,2028-04-30,0.0000,1.04729027,0.0000,0,0.0000
20,2028-05-31,0.0000,1.04901995,0.0000,0,0.0000
21,2028-06-30,0.0000,1.05075249,0.0000,0,0.0000
22,2028-07-31,40748.2740,1.05248790,42887.0653,1,42887.0653
23,2028-08-31,5933.9793,1.05422617,6255.7562,1,6255.7562
24,2028-09-30,5933.9793,1.05596731,6266.0881,1,6266.0881
25,2028-10-31,5933.9793,1.05771132,6276.4371,1,6276.4371
26,2028-11-30,5933.9793,1.05945822,6286.8031,1,6286.8031
27,2028-12-31,5933.9793,1.06120800,6297.1863,1,6297.1863
28,2029-01-31,14855.2098,1.06296067,15790.5037,1,15790.5037
29,2029-02-28,14855.2098,1.06471624,15816.5830,1,15816.5830
30,2029-03-31,14855.2098,1.06647470,15842.7054,1,15842.7054
31,2029-04-30,14855.2098,1.06823607,15868.8709,1,15868.8709
32,2029-05-31,14619.4395,1.07000035,15642.8054,1,15642.8054
33,2029-06-30,14586.3642,1.07176754,15633.1917,1,15633.1917
34,2029-07-31,12736.4463,1.07353765,13673.0547,1,13673.0547
35,2029-08-31,12713.7964,1.07531069,13671.2811,1,13671.2811
36,2029-09-30,12154.9203,1.07708665,13091.9024,1,13091.9024
37,2029-10-31,12154.9203,1.07886555,13113.5247,1,13113.5247
38,2029-11-30,13734.8141,1.08064738,14842.4909,1,14842.4909
39,2029-12-31,13701.7388,1.08243216,14831.2027,1,14831.2027
40,2030-01-31,2260.8614,1.08421988,2451.2709,1,2451.2709
41,2030-02-28,2260.8614,1.08601056,2455.3194,1,2455.3194
42,2030-03-31,1470.9145,1.08780420,1600.0670,1,1600.0670
43,2030-04-30,1470.9145,1.08960079,1602.7096,1,1602.7096
44,2030-05-31,173.1474,1.09140036,188.9731,1,188.9731
45,2030-06-30,173.1474,1.09320289,189.2852,1,189.2852
46,2030-07-31,173.1474,1.09500841,189.5978,1,189.5978
47,2030-08-31,173.1474,1.09681690,189.9110,1,189.9110
48,2030-09-30,173.1474,1.09862839,190.2246,1,190.2246
