mes,fecha,desembolso,interes_devengado,saldo
22,2028-07-31,34309.6522,0.000000,34309.6522
23,2028-08-31,5004.6050,254.901190,39569.1584
24,2028-09-30,5012.8705,293.976328,44876.0052
25,2028-10-31,5021.1497,333.403180,50230.5581
26,2028-11-30,5029.4425,373.184460,55633.1851
27,2028-12-31,5037.7490,413.322904,61084.2570
28,2029-01-31,12632.4030,453.821266,74170.4813
29,2029-02-28,12653.2664,551.044465,87374.7922
30,2029-03-31,12674.1643,649.144981,100698.1015
31,2029-04-30,12695.0968,748.129586,114141.3278
32,2029-05-31,12514.2443,848.005108,127503.5772
33,2029-06-30,12506.5534,947.279016,140957.4096
34,2029-07-31,10938.4438,1047.233334,152943.0868
35,2029-08-31,10937.0249,1136.280094,165016.3918
36,2029-09-30,10473.5219,1225.977879,176715.8916
37,2029-10-31,10490.8198,1312.898505,188519.6099
38,2029-11-30,11873.9927,1400.593414,201794.1960
39,2029-12-31,11864.9622,1499.216034,215158.3742
40,2030-01-31,1961.0167,1598.504273,218717.8952
41,2030-02-28,1964.2555,1624.949488,222307.1001
42,2030-03-31,1280.0536,1651.615238,225238.7690
43,2030-04-30,1282.1677,1673.395869,228194.3325
44,2030-05-31,151.1785,1695.354025,230040.8651
45,2030-06-30,151.4282,1709.072710,231901.3659
46,2030-07-31,151.6783,1722.895173,233775.9394
47,2030-08-31,151.9288,1736.822187,235664.6903
48,2030-09-30,152.1797,1750.854532,237567.7246
