anio_concesion,anio_calendario,fijo_con_reposiciones,de_las_cuales_reposiciones,variable,gastos_spv,total,demanda_m3
5,2030,7930.3268,2134.4500,14984.5495,1782.0000,24696.8764,14471870.40
6,2031,7930.3268,2134.4500,15151.1944,1782.0000,24863.5212,14661086.40
7,2032,7930.3268,2134.4500,15290.0651,1782.0000,25002.3919,14818766.40
8,2033,7930.3268,2134.4500,15401.1616,1782.0000,25113.4885,14944910.40
9,2034,7930.3268,2134.4500,15512.2582,1782.0000,25224.5850,15071054.40
10,2035,7930.3268,2134.4500,15623.3547,1782.0000,25335.6816,15197198.40
11,2036,7930.3268,2134.4500,15734.4513,1782.0000,25446.7781,15323342.40
12,2037,7930.3268,2134.4500,16401.0306,1782.0000,26113.3575,16080206.40
13,2038,7930.3268,2134.4500,16539.9013,1782.0000,26252.2282,16237886.40
14,2039,7930.3268,2134.4500,16678.7720,1782.0000,26391.0989,16395566.40
15,2040,7930.3268,2134.4500,16845.4169,1782.0000,26557.7437,16584782.40
16,2041,7930.3268,2134.4500,16984.2876,1782.0000,26696.6144,16742462.40
17,2042,7930.3268,2134.4500,17150.9324,1782.0000,26863.2592,16931678.40
18,2043,7930.3268,2134.4500,17289.8031,1782.0000,27002.1299,17089358.40
19,2044,7930.3268,2134.4500,17456.4479,1782.0000,27168.7748,17278574.40
20,2045,7930.3268,2134.4500,17623.0928,1782.0000,27335.4196,17467790.40
21,2046,7930.3268,2134.4500,17789.7376,1782.0000,27502.0645,17657006.40
22,2047,7930.3268,2134.4500,17956.3825,1782.0000,27668.7093,17846222.40
23,2048,7930.3268,2134.4500,18123.0273,1782.0000,27835.3541,18035438.40
24,2049,7930.3268,2134.4500,18289.6721,1782.0000,28001.9990,18224654.40
25,2050,7930.3268,2134.4500,18484.0911,1782.0000,28196.4179,18445406.40
26,2051,7930.3268,2134.4500,18678.5101,1782.0000,28390.8369,18666158.40
27,2052,7930.3268,2134.4500,18678.5101,1782.0000,28390.8369,18666158.40
28,2053,7930.3268,2134.4500,18678.5101,1782.0000,28390.8369,18666158.40
29,2054,7930.3268,2134.4500,18678.5101,1782.0000,28390.8369,18666158.40
