mes,fecha,ppdi_cobrado,obra,estructuracion,comision,fideicomiso,seguros,garantias,reembolso,impuesto_renta,igv_neto,fc_antes_deuda
1,2026-10-31,0.0,-1433.950782,0.0,0.0,0.0,0.0,0.0,-8437.110272,0.0,-1776.79099,-11647.852044
2,2026-11-30,0.0,-1436.319068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1518.253557,81.934489
3,2026-12-31,0.0,-1438.691266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.426996,-1439.118262
4,2027-01-31,0.0,-1441.067382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.427701,-1441.495083
5,2027-02-28,0.0,-1443.447422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.428407,-1443.875829
6,2027-03-31,0.0,-1445.831392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.429115,-1446.260507
7,2027-04-30,0.0,-1448.219301,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,-1.929823,-1458.482457
8,2027-05-31,0.0,-1450.611153,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,-0.430533,-1459.375019
9,2027-06-30,0.0,-1453.006955,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,-0.431244,-1461.771533
10,2027-07-31,0.0,-1372.731614,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,14.449561,-1366.615386
11,2027-08-31,0.0,-1374.998792,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,-0.408092,-1383.740217
12,2027-09-30,0.0,-1377.269714,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,-0.408766,-1386.011814
13,2027-10-31,0.0,-41.542705,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,240.430862,190.554823
14,2027-11-30,0.0,-41.611316,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,-0.01235,-49.957
15,2027-12-31,0.0,-41.680041,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,-0.01237,-50.025745
16,2028-01-31,0.0,-125.246637,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,-15.041987,-148.621957
17,2028-02-29,0.0,0.0,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,22.544395,14.211061
18,2028-03-31,0.0,0.0,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,0.0,-8.333333
19,2028-04-30,0.0,0.0,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,0.0,-8.333333
20,2028-05-31,0.0,0.0,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,0.0,-8.333333
21,2028-06-30,0.0,0.0,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,0.0,-8.333333
22,2028-07-31,0.0,-42887.065259,-4178.316987,-144.842496,-8.333333,0.0,0.0,0.0,0.0,-7719.671747,-54938.229821
23,2028-08-31,0.0,-6255.756247,0.0,-140.690985,-8.333333,0.0,0.0,0.0,0.0,6593.635622,188.855056
24,2028-09-30,0.0,-6266.088138,0.0,-136.532618,-8.333333,0.0,0.0,0.0,0.0,-1.85974,-6412.813829
25,2028-10-31,0.0,-6276.437092,0.0,-132.367383,-8.333333,0.0,0.0,0.0,0.0,-1.862812,-6419.000619
26,2028-11-30,0.0,-6286.803138,0.0,-128.195268,-8.333333,0.0,0.0,0.0,0.0,-1.865888,-6425.197628
27,2028-12-31,0.0,-6297.186304,0.0,-124.016264,-8.333333,0.0,0.0,0.0,0.0,-1.86897,-6431.404871
28,2029-01-31,0.0,-15790.503749,0.0,-113.537204,-8.333333,0.0,0.0,0.0,0.0,-1708.79714,-17621.171426
29,2029-02-28,0.0,-15816.58305,0.0,-103.040837,-8.333333,0.0,0.0,0.0,0.0,-4.694274,-15932.651494
30,2029-03-31,0.0,-15842.705423,0.0,-92.527135,-8.333333,0.0,0.0,0.0,0.0,-4.702027,-15948.267918
31,2029-04-30,0.0,-15868.870939,0.0,-81.996068,-8.333333,0.0,0.0,0.0,0.0,-4.709793,-15963.910133
32,2029-05-31,0.0,-15642.805379,0.0,-71.615025,-8.333333,0.0,0.0,0.0,0.0,40.691801,-15682.061937
33,2029-06-30,0.0,-15633.191716,0.0,-61.240363,-8.333333,0.0,0.0,0.0,0.0,1.730459,-15701.034952
34,2029-07-31,0.0,-13673.054738,0.0,-52.166507,-8.333333,0.0,0.0,0.0,0.0,352.824656,-13380.729922
35,2029-08-31,0.0,-13671.281142,0.0,-43.093828,-8.333333,0.0,0.0,0.0,0.0,0.319247,-13722.389056
36,2029-09-30,0.0,-13091.902395,0.0,-34.405642,-8.333333,0.0,0.0,0.0,0.0,104.288174,-13030.353196
37,2029-10-31,0.0,-13113.524736,0.0,-25.703107,-8.333333,0.0,0.0,0.0,0.0,-3.892021,-13151.453198
38,2029-11-30,0.0,-14842.49088,0.0,-15.853178,-8.333333,0.0,0.0,0.0,0.0,-311.213906,-15177.891297
39,2029-12-31,0.0,-14831.202697,0.0,-6.010739,-8.333333,0.0,0.0,0.0,0.0,2.031873,-14843.514897
40,2030-01-31,0.0,-2451.270905,0.0,-4.384001,-8.333333,0.0,0.0,0.0,0.0,2228.387723,-235.600517
41,2030-02-28,0.0,-2455.319378,0.0,-2.754576,-8.333333,0.0,0.0,0.0,0.0,-0.728725,-2467.136013
42,2030-03-31,0.0,-1600.066989,0.0,-1.692723,-8.333333,0.0,0.0,0.0,0.0,153.94543,-1456.147615
43,2030-04-30,0.0,-1602.709629,0.0,-0.629116,-8.333333,0.0,0.0,0.0,0.0,-0.475675,-1612.147754
44,2030-05-31,0.0,-188.973107,0.0,-0.503708,-8.333333,0.0,0.0,0.0,0.0,254.472574,56.662425
45,2030-06-30,0.0,-189.285212,0.0,-0.378092,-8.333333,0.0,0.0,0.0,0.0,-0.056179,-198.052817
46,2030-07-31,0.0,-189.597832,0.0,-0.25227,-8.333333,0.0,0.0,0.0,0.0,-0.056272,-198.239706
47,2030-08-31,0.0,-189.910968,0.0,-0.126239,-8.333333,0.0,0.0,0.0,0.0,-0.056365,-198.426905
48,2030-09-30,0.0,-190.224621,0.0,0.0,-8.333333,0.0,0.0,0.0,0.0,-0.056458,-198.614412
49,2030-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.740432,35.740432
50,2030-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2030-12-31,11618.136639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11618.136639
52,2031-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2031-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
