anio,trimestres,ppdmo_fijo,ppdmo_variable,ppdmo_total
2031,4,6671.828175,29219.066497,35890.894673
2032,4,6671.828175,29550.098217,36221.926393
2033,4,6773.740351,30274.510536,37048.250887
2034,4,6875.652526,30988.938308,37864.590834
2035,4,6875.652526,31248.858109,38124.510635
2036,4,7068.179248,32391.558652,39459.737900
2037,4,7085.681677,33743.602815,40829.284492
2038,4,7157.848618,34747.687860,41905.536479
2039,4,7302.182501,35792.540040,43094.722542
2040,4,7302.182501,36189.353123,43491.535624
2041,4,7469.511952,37391.218450,44860.730402
2042,4,7525.288435,38077.372424,45602.660860
2043,4,7563.606969,38646.992409,46210.599378
2044,4,7755.199634,40046.920614,47802.120249
2045,4,7755.199634,40486.674501,48241.874135
2046,4,7893.400995,41657.716041,49551.117036
2047,4,7992.116253,42629.893911,50622.010164
2048,4,7992.116253,43083.082011,51075.198264
2049,4,8236.305164,44866.465276,53102.770440
2050,4,8236.305164,45391.879295,53628.184459
2051,4,8341.164064,46523.322069,54864.486133
2052,4,8487.966523,47480.737086,55968.703609
