                                            libro          tasas hoy       + TC del MMM        + IPM 2.67%    + IPC MMM 2.26%
  Prima devaluacion                      1.0856%            0.8538%            0.8538%            0.8538%            0.8538% 
  Ke soles                              11.8970%           11.9733%           11.9733%           11.9733%           11.9733% 
  Kd soles                              10.5006%           10.0023%           10.0023%           10.0023%           10.0023% 
  WACC soles                             9.9513%            9.8636%            9.8636%            9.8636%            9.8636% 

  Intereses construccion         66,454,727.9311    63,329,458.1021    63,241,003.0924    63,241,003.0924    63,241,003.0924 
  Deuda                         558,486,229.4540   555,901,777.5463   555,446,514.8284   555,446,514.8284   555,446,514.8284 
  VAN necesidades               519,739,073.6514   518,484,836.0349   517,943,550.1849   517,943,550.1849   517,943,550.1849 

  PPDI anual                     97,607,149.9419    96,591,566.4885    96,490,727.1881    96,490,727.1881    96,490,727.1881 
  PPDI trimestral                24,401,787.4855    24,147,891.6221    24,122,681.7970    24,122,681.7970    24,122,681.7970 
    cuota trim. hito 1           18,536,803.1199    18,343,931.2807    18,324,780.6523    18,324,780.6523    18,324,780.6523 
    cuota trim. hito 2            1,525,438.0600     1,509,566.1730     1,507,990.2218     1,507,990.2218     1,507,990.2218 
    cuota trim. hito 3              556,970.4178       551,175.2487       550,599.8348       550,599.8348       550,599.8348 
    cuota trim. hito 4            3,782,575.8878     3,743,218.9197     3,739,311.0881     3,739,311.0881     3,739,311.0881 

  PPDMO referencia mensual        5,683,476.2269     5,615,345.5889     5,612,827.2488     5,479,810.0620     5,516,516.1546 
  PPDMO fijo anual               49,366,834.8917    48,771,487.5683    48,749,614.7925    47,594,308.1477    47,913,115.0155 
    PPDMO fijo mes hito 1         2,783,028.2177     2,749,492.6765     2,748,259.5987     2,683,129.1851     2,701,101.9227 
    PPDMO fijo mes hito 2           186,209.0710       183,983.8020       183,901.2900       179,543.0528       180,745.7084 
    PPDMO fijo mes hito 3            58,596.3955        57,891.7076        57,865.7446        56,494.3968        56,872.8202 
    PPDMO fijo mes hito 4         1,086,069.2235     1,072,922.4445     1,072,441.2660     1,047,025.7109     1,054,039.1333 
  Precio unit. S//kg DBO                3.782649           3.738020           3.736344           3.647797           3.672231 
  PPDMO nominal del contrato       1,522,949,413      1,504,683,486      1,504,008,673      1,816,356,284      1,722,019,943 
