fecha,mes_contrato,Capex,Otros costos en constr.,Variacion IGV construccion,Intereses,Comisiones,Dotacion inicial CRSD,Capital de Trabajo Inicial,Total necesidades,Aportes de Capital,Nec. despues de aportes,Desembolso de Deuda
2025-11,1,2920434.91,4524415.81,530811.97,0.0,0.0,0.0,0.0,7975662.7,-34905389.34,0.0,0.0
2025-12,2,2923315.33,217449.52,518.48,0.0,0.0,0.0,0.0,3141283.33,0.0,0.0,0.0
2026-01,3,2926198.6,217572.93,518.99,0.0,0.0,0.0,0.0,3144290.51,0.0,0.0,0.0
2026-02,4,2929084.7,217696.46,519.5,0.0,0.0,0.0,0.0,3147300.66,0.0,0.0,0.0
2026-03,5,2931973.65,217820.11,520.01,0.0,0.0,0.0,0.0,3150313.78,0.0,0.0,0.0
2026-04,6,2934865.46,217943.89,520.52,0.0,0.0,0.0,0.0,3153329.87,0.0,0.0,0.0
2026-05,7,2937760.11,218067.78,521.04,0.0,0.0,0.0,0.0,3156348.93,0.0,0.0,0.0
2026-06,8,2940657.62,218191.8,521.55,0.0,0.0,0.0,0.0,3159370.97,0.0,0.0,0.0
2026-07,9,2943557.99,218315.94,522.07,0.0,0.0,0.0,0.0,3162396.0,0.0,0.0,0.0
2026-08,10,2946461.21,218440.21,522.58,0.0,0.0,0.0,0.0,3165424.0,-34905389.34,0.0,0.0
2026-09,11,276338.97,218564.59,-480622.0,0.0,0.0,0.0,0.0,14281.56,0.0,0.0,0.0
2026-10,12,276611.52,218689.1,49.06,0.0,0.0,0.0,0.0,495349.69,0.0,0.0,0.0
2026-11,13,276884.35,218813.73,49.11,0.0,0.0,0.0,0.0,495747.19,0.0,0.0,0.0
2026-12,14,277157.44,218938.49,49.16,0.0,0.0,0.0,0.0,496145.08,0.0,0.0,0.0
2027-01,15,277430.8,219063.37,49.2,0.0,0.0,0.0,0.0,496543.37,0.0,0.0,0.0
2027-02,16,277704.43,219188.37,49.25,0.0,0.0,0.0,0.0,496942.05,-69810778.68,0.0,0.0
2027-03,17,277978.33,219313.49,49.3,0.0,0.0,0.0,0.0,497341.12,0.0,0.0,0.0
2027-04,18,278252.5,219438.74,49.35,0.0,0.0,0.0,0.0,497740.58,0.0,0.0,0.0
2027-05,19,278526.94,219564.11,49.4,0.0,0.0,0.0,0.0,498140.44,0.0,0.0,0.0
2027-06,20,278801.65,219689.6,49.45,0.0,11169724.59,0.0,0.0,11668265.29,0.0,0.0,0.0
2027-07,21,279076.63,219815.22,49.5,0.0,465405.19,0.0,0.0,964346.54,0.0,0.0,0.0
2027-08,22,35928995.75,287623.74,6429168.34,0.0,465405.19,0.0,0.0,43111193.03,0.0,0.0,0.0
2027-09,23,35964432.47,287816.37,6390.63,0.0,465405.19,0.0,0.0,36724044.66,0.0,0.0,0.0
2027-10,24,13734996.49,288009.18,-4001286.45,30959.55,462317.49,0.0,0.0,10514996.26,0.0,3705240.26,3705240.26
2027-11,25,13748543.3,288202.18,2450.47,153307.59,450115.31,0.0,0.0,14642618.85,0.0,14642618.85,14642618.85
2027-12,26,13762103.48,288395.37,2452.88,276698.75,437809.09,0.0,0.0,14767459.57,0.0,14767459.57,14767459.57
2028-01,27,22427565.12,288588.75,1559795.16,487091.95,416825.87,0.0,0.0,25179866.85,0.0,25179866.85,25179866.85
2028-02,28,22449685.4,288782.33,3993.73,686169.43,396971.2,0.0,0.0,23825602.09,0.0,23825602.09,23825602.09
2028-03,29,22471827.49,288976.09,3997.66,886943.86,376947.29,0.0,0.0,24028692.4,0.0,24028692.4,24028692.4
2028-04,30,22493991.43,289170.05,4001.61,1089428.28,356752.84,0.0,0.0,24233344.2,0.0,24233344.2,24233344.2
2028-05,31,22516177.22,289364.19,4005.55,1293635.84,336386.53,0.0,0.0,24439569.34,0.0,24439569.34,24439569.34
2028-06,32,22538384.9,289558.53,4009.5,1499579.78,315847.05,0.0,0.0,24647379.77,0.0,24647379.77,24647379.77
2028-07,33,22560614.48,289753.06,4013.46,1707273.45,295133.06,0.0,0.0,24856787.51,0.0,24856787.51,24856787.51
2028-08,34,22582865.98,289947.78,4017.42,1916730.3,274243.22,0.0,0.0,25067804.71,0.0,25067804.71,25067804.71
2028-09,35,22605139.44,290142.7,4021.38,2127963.88,253176.18,0.0,0.0,25280443.58,0.0,25280443.58,25280443.58
2028-10,36,22627434.86,290337.8,4025.35,2340987.84,231930.59,0.0,0.0,25494716.43,0.0,25494716.43,25494716.43
2028-11,37,22649752.27,290533.1,4029.32,2555815.93,210505.06,0.0,0.0,25710635.67,0.0,25710635.67,25710635.67
2028-12,38,22672091.69,290728.59,4033.29,2772462.02,188898.21,0.0,0.0,25928213.81,0.0,25928213.81,25928213.81
2029-01,39,22694453.14,290924.28,4037.27,2990940.08,167108.66,0.0,0.0,26147463.43,0.0,26147463.43,26147463.43
2029-02,40,22716836.65,291120.15,4041.25,3211264.18,145134.99,0.0,0.0,26368397.23,0.0,26368397.23,26368397.23
2029-03,41,22739242.24,291316.23,4045.24,3433448.49,122975.8,0.0,0.0,26591027.99,0.0,26591027.99,26591027.99
2029-04,42,22761669.93,291512.49,4049.23,3657507.3,100629.66,0.0,0.0,26815368.61,0.0,26815368.61,26815368.61
2029-05,43,22784119.73,291708.95,4053.22,3883455.02,78095.14,0.0,0.0,27041432.05,0.0,27041432.05,27041432.05
2029-06,44,5677738.83,291905.6,-3079136.3,3941142.09,72341.81,0.0,0.0,6903992.03,0.0,6903992.03,6903992.03
2029-07,45,5683338.77,292102.44,1020.27,4025246.86,63953.76,0.0,0.0,10065662.1,0.0,10065662.1,10065662.1
2029-08,46,5688944.24,292299.48,1021.28,4110037.94,55497.26,0.0,0.0,10147800.2,0.0,10147800.2,10147800.2
2029-09,47,5694555.24,292496.71,1022.28,4195520.59,46971.79,0.0,0.0,10230566.61,0.0,10230566.61,10230566.61
2029-10,48,918850.97,292694.14,-859614.45,4234200.77,43114.08,0.0,0.0,4629245.51,0.0,4629245.51,4629245.51
2029-11,49,919757.23,292891.76,175.46,4280421.93,38504.29,0.0,0.0,5531750.67,0.0,5531750.67,5531750.67
2029-12,50,920664.39,293089.58,175.63,4666494.21,0.0,30191724.16,10133000.0,46205147.97,0.0,46205147.97,46205147.97
